Year,Host.Species,Date,Julian.Day,Lake,Total,male.count,ephip.count,sex.count,Adult.Total,gut.inf.all,gut.inf.adu,male.prop.all,ephip.prop.all,sex.prop.all,male.prop.adu,ephip.prop.adu,sex.prop.adu,gut.prev.all,gut.prev.adu
2016,dentifera,26-Jul-16,2016208,Gosling,238,0,0,0,107,0,0,0,0,0,0,0,0,0,0
2016,dentifera,29-Jul-16,2016211,Gosling,232,0,0,0,108,0,0,0,0,0,0,0,0,0,0
2016,dentifera,1-Aug-16,2016214,Gosling,204,0,0,0,127,0,0,0,0,0,0,0,0,0,0
2016,dentifera,4-Aug-16,2016217,Gosling,222,0,0,0,120,0,0,0,0,0,0,0,0,0,0
2016,dentifera,7-Aug-16,2016220,Gosling,214,0,0,0,77,0,0,0,0,0,0,0,0,0,0
2016,dentifera,10-Aug-16,2016223,Gosling,412,0,0,0,162,0,0,0,0,0,0,0,0,0,0
2016,dentifera,13-Aug-16,2016226,Gosling,220,0,0,0,118,0,0,0,0,0,0,0,0,0,0
2016,dentifera,16-Aug-16,2016229,Gosling,430,0,0,0,101,0,0,0,0,0,0,0,0,0,0
2016,dentifera,19-Aug-16,2016232,Gosling,250,0,0,0,129,1,1,0,0,0,0,0,0,0.004,0.007751938
2016,dentifera,22-Aug-16,2016235,Gosling,255,0,0,0,138,0,0,0,0,0,0,0,0,0,0
2016,dentifera,25-Aug-16,2016238,Gosling,216,0,0,0,103,0,0,0,0,0,0,0,0,0,0
2016,dentifera,28-Aug-16,2016241,Gosling,376,1,0,1,176,5,5,0.002659574,0,0.002659574,0.005681818,0,0.005681818,0.013297872,0.028409091
2016,dentifera,31-Aug-16,2016244,Gosling,218,0,0,0,90,5,5,0,0,0,0,0,0,0.02293578,0.055555556
2016,dentifera,3-Sep-16,2016247,Gosling,222,0,0,0,73,0,0,0,0,0,0,0,0,0,0
2016,dentifera,6-Sep-16,2016250,Gosling,275,0,0,0,141,2,2,0,0,0,0,0,0,0.007272727,0.014184397
2016,dentifera,9-Sep-16,2016253,Gosling,244,0,0,0,118,3,3,0,0,0,0,0,0,0.012295082,0.025423729
2016,dentifera,12-Sep-16,2016256,Gosling,221,0,0,0,48,7,7,0,0,0,0,0,0,0.031674208,0.145833333
2016,dentifera,15-Sep-16,2016259,Gosling,210,0,0,0,55,3,3,0,0,0,0,0,0,0.014285714,0.054545455
2016,dentifera,18-Sep-16,2016262,Gosling,270,0,0,0,138,13,13,0,0,0,0,0,0,0.048148148,0.094202899
2016,dentifera,21-Sep-16,2016265,Gosling,237,0,0,0,57,8,8,0,0,0,0,0,0,0.033755274,0.140350877
2016,dentifera,24-Sep-16,2016268,Gosling,254,0,0,0,142,7,7,0,0,0,0,0,0,0.027559055,0.049295775
2016,dentifera,27-Sep-16,2016271,Gosling,215,0,0,0,122,4,3,0,0,0,0,0,0,0.018604651,0.024590164
2016,dentifera,30-Sep-16,2016274,Gosling,292,2,0,2,120,1,1,0.006849315,0,0.006849315,0.016666667,0,0.016666667,0.003424658,0.008333333
2016,dentifera,3-Oct-16,2016277,Gosling,245,11,0,11,157,13,13,0.044897959,0,0.044897959,0.070063694,0,0.070063694,0.053061224,0.082802548
2016,dentifera,6-Oct-16,2016280,Gosling,203,7,1,8,122,5,5,0.034482759,0.004926108,0.039408867,0.057377049,0.008196721,0.06557377,0.024630542,0.040983607
2016,dentifera,9-Oct-16,2016283,Gosling,239,17,0,17,163,0,0,0.071129707,0,0.071129707,0.104294479,0,0.104294479,0,0
2016,dentifera,12-Oct-16,2016286,Gosling,207,19,0,19,99,2,2,0.09178744,0,0.09178744,0.191919192,0,0.191919192,0.009661836,0.02020202
2016,dentifera,15-Oct-16,2016289,Gosling,264,39,0,39,162,0,0,0.147727273,0,0.147727273,0.240740741,0,0.240740741,0,0
2016,dentifera,18-Oct-16,2016292,Gosling,208,12,2,14,93,2,2,0.057692308,0.009615385,0.067307692,0.129032258,0.021505376,0.150537634,0.009615385,0.021505376
